mean_predicted_probability,observed_fraction_positive,difference
0.04120636366105021,0.25,0.2087936363389498
0.17431146303740597,0.2,0.025688536962594044
0.2573390964021267,0.24545454545454545,-0.011884550947581257
0.3525910310103367,0.3541666666666667,0.00157563565633001
0.44556644558523256,0.4503311258278146,0.004764680242582031
0.5515801672597939,0.5353535353535354,-0.016226631906258504
0.6479319259702014,0.7391304347826086,0.09119850881240721
0.7525113199843989,0.7731958762886598,0.020684556304260915
0.8429257709733367,0.782051282051282,-0.060874488922054604
0.9212952831148663,0.7272727272727273,-0.194022555842139
